Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),N2X2(44)
2.7593679710211604e-24,0.0505958752244895,5.182068176315059e-23,2.5081314706465644e-39,1.267121387934006e-20,1.0503858307679264e-185,2.2190047316330995e-22,0.938,2.1504306776048425e-102,2.086497247924178e-19,4.125484135007832e-58,1.7007979140015934e-22,2.860009493924503e-20,0.0,0.0,0.030556184552505618,0.01,0.05,5.810364948808149e-107,1.763728242191857e-130,0.002,2.4884971954354595e-197,1.7725066423337164e-124
5.52113330778604e-24,0.0505958752244895,1.0368638583886696e-22,1.0039062261839566e-38,2.5353436632597737e-20,5.392278186287664e-183,4.4399373561694425e-22,0.938,6.889873862747921e-101,4.174807264960366e-19,3.302895778975619e-57,3.403073497780773e-22,5.722503791927108e-20,0.0,0.0,0.030556184552505618,0.01,0.05,9.300911130930986e-106,1.1302021294212958e-128,0.002,2.5550047466221315e-194,5.674749458167404e-123
1.10446639813158e-23,0.0505958752244895,2.0741779399029988e-22,4.0169325531510616e-38,5.071788213911267e-20,2.764514168669886e-180,8.881802605242131e-22,0.938,2.2061199473209708e-99,8.351427299032743e-19,2.643320440635292e-56,6.807624665339131e-22,1.1447492387932248e-19,0.0,0.0,0.030556184552505618,0.01,0.05,1.48849195797134e-104,7.237828447601189e-127,0.002,2.619804001745523e-191,1.8163563390344998e-121
2.209172532837532e-23,0.0505958752244895,4.1488061029316645e-22,1.6070345881999322e-37,1.0144677315214083e-19,1.4163709943418524e-177,1.776553310338752e-21,0.938,7.061761129800517e-98,1.6704667367177496e-18,2.1150579653029017e-55,1.3616727000455847e-21,2.289746957994225e-19,0.0,0.0,0.030556184552505618,0.01,0.05,2.3818640743715915e-103,4.6336619000742515e-125,0.002,2.6844621373352198e-188,5.813038704781703e-120
4.4185848022494357e-23,0.0505958752244895,8.298062428989025e-22,6.42866152393523e-37,2.0290455517819038e-19,7.254226248843384e-175,3.553299409967833e-21,0.938,2.2601119933179928e-96,3.3411147503466997e-18,1.6922070345226785e-54,2.7234931670689267e-21,4.57974239639611e-19,0.0,0.0,0.030556184552505614,0.01,0.05,3.811204072288476e-102,2.966008246248109e-123,0.0019999999999999996,2.749802431574025e-185,1.8602841327095163e-118
8.837409341073243e-23,0.0505958752244895,1.6596575081103859e-21,2.5715692475268606e-36,4.058201192302623e-19,3.714780100351651e-172,7.106791609226011e-21,0.938,7.232915920706673e-95,6.682410777604599e-18,1.3538298959627875e-53,5.447134101115609e-21,9.159733273199421e-19,0.0,0.0,0.03055618455250561,0.009999999999999998,0.05,6.098103758296766e-101,1.898393973383595e-121,0.001999999999999999,2.81626534940226e-182,5.9530880201574986e-117
1.7675058418720859e-22,0.0505958752244895,3.319360038533397e-21,1.0286486269738801e-35,8.116512473342976e-19,1.9021251908500083e-169,1.421377600774242e-20,0.938,2.314622305459654e-93,1.3365002832120392e-17,1.083089624794603e-52,1.089441596920896e-20,1.831971502680422e-18,0.0,0.0,0.030556184552505604,0.009999999999999995,0.05,9.757107807383183e-100,1.2150197278760585e-119,0.0019999999999999983,2.8840951847850247e-179,1.905016773728358e-115
3.5350356574016094e-22,0.0505958752244895,6.638765099379602e-21,4.1146363641945006e-35,1.623313503541934e-18,9.739284912963293e-167,2.842774480477547e-20,0.938,7.406934118084213e-92,2.673018694115195e-17,8.6648198318276e-52,2.1788979705395624e-20,3.663967853400652e-18,0.0,0.0,0.030556184552505587,0.009999999999999988,0.05,1.5611485927100406e-98,7.7762785337359355e-118,0.0019999999999999966,2.9534360825183384e-176,6.096099447575695e-114
7.070095288460656e-22,0.0505958752244895,1.3277575221072736e-20,1.6458629169749684e-34,3.24663801595547e-18,4.98661728462015e-164,5.68556823988425e-20,0.938,2.370241756547596e-90,5.3460555159214985e-17,6.931896999125465e-51,4.357810717776879e-20,7.32796055483819e-18,0.0,0.0,0.030556184552505555,0.009999999999999974,0.05,2.4978468231592565e-97,4.976866990275083e-116,0.001999999999999993,3.0243813274924913e-173,1.9507591466875552e-112
1.4140214550578749e-21,0.0505958752244895,2.655519546446191e-20,6.583468410532385e-34,6.493287040775595e-18,2.5531745216673583e-161,1.1371155758698026e-19,0.938,7.58481016318022e-89,1.0692129159534068e-16,5.545534052821393e-50,8.715636212251447e-20,1.4655945957701572e-17,0.0,0.0,0.030556184552505493,0.009999999999999948,0.05,3.996562176914014e-96,3.1852104670479214e-114,0.0019999999999999857,3.0969986212177252e-170,6.2424409869423915e-111
2.8280453074814937e-21,0.0505958752244895,5.311043595125184e-20,2.6333907127439176e-33,1.2986585090388055e-17,1.3072321307671132e-158,2.2742330796327044e-19,0.938,2.4271450989915615e-87,2.1384276446759059e-16,4.4364338236777066e-49,1.7431287201200319e-19,2.931191676338158e-17,0.0,0.0,0.030556184552505364,0.009999999999999894,0.049999999999999996,6.394505290951869e-95,2.038539688773004e-112,0.001999999999999971,3.1713430419891886e-167,1.9975829906288846e-109
5.6560930123287306e-21,0.0505958752244895,1.0622091692487806e-19,1.0533569548047207e-32,2.5973181189501807e-17,6.693045843136706e-156,4.548468087159097e-19,0.938,7.766873671628708e-86,4.2768571021208455e-16,3.549149691514519e-48,3.4862589179097004e-19,5.862385837455456e-17,0.0,0.0,0.030556184552505108,0.009999999999999787,0.04999999999999998,1.0231213111841217e-93,1.3046669975737139e-110,0.0019999999999999415,3.247463693499212e-164,6.392268569707765e-108
1.1312188422023206e-20,0.0505958752244895,2.1244187887231595e-19,4.213429158638271e-32,5.194637338728467e-17,3.426843896632624e-153,9.096938102214239e-19,0.938,2.485401071701771e-84,8.553716017010491e-16,2.8393208062440677e-47,6.972519313488613e-19,1.1724774159615233e-16,0.0,0.0,0.030556184552504594,0.009999999999999573,0.049999999999999954,1.6369944696021874e-92,8.349873894112985e-109,0.001999999999999883,3.3254071203337175e-161,2.0455264222600577e-106
2.2624379241412156e-20,0.0505958752244895,4.248838027679336e-19,1.6853719313429892e-31,1.0389275778107178e-16,1.7545451950993598e-150,1.8193878132333945e-18,0.938,7.953285824312072e-83,1.710743384678884e-15,2.2714570662132368e-46,1.3945040104644748e-18,2.3449550803635524e-16,0.0,0.0,0.030556184552503567,0.009999999999999145,0.0499999999999999,2.6191914487364044e-91,5.34392092732918e-107,0.0019999999999997654,3.4052190671371495e-158,6.545685319172739e-105
4.524876088019006e-20,0.0505958752244895,8.497676505621362e-19,6.741488261177482e-31,2.077855265615315e-16,8.983274135468392e-148,3.638775819261105e-18,0.938,2.5450518469691854e-81,3.421486950634178e-15,1.8171658214656627e-45,2.7890081686950244e-18,4.689910409047905e-16,0.0,0.0,0.030556184552501513,0.00999999999999829,0.049999999999999795,4.19070655589843e-90,3.420109916735941e-105,0.0019999999999995304,3.486945388109198e-155,2.0946194250152634e-103
9.049752415774586e-20,0.0505958752244895,1.6995353461624113e-18,2.6965954116562056e-30,4.1557106409399327e-16,4.5994369240808425e-145,7.277551831331605e-18,0.938,8.144166523472406e-80,6.842974082543263e-15,1.4537327245831448e-44,5.578016485153416e-18,9.379821065937784e-16,0.0,0.0,0.03055618455249741,0.00999999999999658,0.049999999999999586,6.70513067984363e-89,2.1888705141676458e-103,0.0019999999999990607,3.5706325180138356e-152,6.7027823567176556e-102
1.8099505071285744e-19,0.0505958752244895,3.3990707374104397e-18,1.0786381861188071e-29,8.311421390450859e-16,2.354911713159485e-142,1.4555103855532912e-17,0.938,2.6061333856620775e-78,1.3685948346355423e-14,1.1629862066508913e-43,1.1156033118059369e-17,1.875964237780224e-15,0.0,0.0,0.030556184552489197,0.009999999999993158,0.04999999999999916,1.0728209240299091e-87,1.4008771826766421e-101,0.001999999999998121,3.6563277113418594e-149,2.1448903856556674e-100
3.619901038230806e-19,0.0505958752244895,6.798141520096409e-18,4.3145527875421346e-29,1.6622842884919475e-15,1.2057146588536767e-139,2.911020790417677e-17,0.938,8.339626991438772e-77,2.73718968739557e-14,9.303889761466698e-43,2.231206638382794e-17,3.751928499386997e-15,0.0,0.0,0.030556184552472776,0.009999999999986315,0.049999999999998324,1.7165134907241393e-86,8.965614140977656e-100,0.0019999999999962413,3.744079147434966e-146,6.863649284759535e-99
7.23980210043527e-19,0.0505958752244895,1.3596283086228003e-17,1.7258211237536444e-28,3.324568585564375e-15,6.173257262246289e-137,5.822041600242945e-17,0.938,2.668680662609992e-75,5.474379392906007e-14,7.443111852992539e-42,4.462413291519178e-17,7.503857019536066e-15,0.0,0.0,0.03055618455243993,0.00999999999997263,0.04999999999999664,2.746421595218086e-85,5.7379931055972734e-98,0.0019999999999924826,3.8339359352653043e-143,2.196367779395404e-97
1.4479604224844197e-18,0.0505958752244895,2.7192566221529814e-17,6.9032845134754235e-28,6.6491371724240484e-15,7.814582563686898e-134,1.1644083220279468e-16,0.938,8.539778162033654e-74,1.0948758803888408e-13,5.954489500746186e-41,8.924826597722623e-17,1.5007714047576295e-14,0.0,0.0,0.030556184552374244,0.009999999999945258,0.049999999999993265,2.746421597724166e-85,3.6723156057800548e-96,0.001999999999984965,9.7009352303875e-140,6.451830356177249e-97
2.8959208473662053e-18,0.0505958752244895,5.438513250428791e-17,2.7613138098721473e-27,1.3298274317002672e-14,4.0057151890829405e-131,2.3288166461896475e-16,0.938,2.73272901924713e-72,2.1897517625699327e-13,4.76359160925703e-40,1.7849653209852218e-16,3.0015428054625125e-14,0.0,0.0,0.030556184552242866,0.009999999999890513,0.04999999999998653,2.746421918692957e-85,2.3502819941430537e-94,0.0019999999999699303,9.951070324727604e-137,1.4962756503608744e-96
5.791841697129776e-18,0.0505958752244895,1.0877026511842199e-16,1.1045255254771018e-26,2.6596548489597018e-14,2.0509257425920238e-128,4.657633295130629e-16,0.938,8.744732878070776e-71,4.37950352687056e-13,3.8108732929804006e-39,3.569930643300222e-16,6.003085587259627e-14,0.0,0.0,0.03055618455198011,0.009999999999781026,0.04999999999997305,2.7464630235996514e-85,1.5041804791064134e-92,0.0019999999999398606,1.018991116983642e-133,3.1984863556478215e-96
8.687762546893346e-18,0.0505958752244895,1.63155397781174e-16,2.3471167433654903e-26,3.9894822545628466e-14,1.1698356833563058e-127,6.98644994468919e-16,0.938,4.090980749423752e-70,6.569255291109634e-13,1.0896715828975045e-38,5.354895965504304e-16,9.004628349444091e-14,0.0,0.0,0.030556184551717356,0.009999999999671539,0.04999999999995958,1.5822135114118626e-81,8.431120254403619e-92,0.001999999999909791,6.825579006646093e-133,9.809486626523602e-93
1.1583683396656917e-17,0.0505958752244895,2.175405304925439e-16,4.00390503526639e-26,5.3193096485097016e-14,9.739855226959736e-127,9.315266594865332e-16,0.938,1.3197800234164728e-69,8.759007055287153e-13,2.2984329574628915e-38,7.139861287597467e-16,1.2006171092015904e-13,0.0,0.0,0.0305561845514546,0.009999999999562052,0.0499999999999461,3.691465405654786e-81,3.077792973311839e-91,0.0019999999998797213,5.517025357298299e-132,3.26885564628951e-92
1.737552509618406e-17,0.0505958752244895,3.2631079602938694e-16,8.289576794874195e-26,7.978964409046814e-14,3.5102011975797456e-125,1.3972899896667038e-15,0.938,7.264686503717641e-69,1.3138510583497724e-12,6.277733249480566e-38,1.0709791931523474e-15,1.8009256531129838e-13,0.0,0.0,0.03055618455092909,0.009999999999343076,0.04999999999991915,5.015130029013181e-81,2.004625097235464e-90,0.0019999999998195814,2.1566302832259597e-130,8.778440852820911e-92
2.31673667957112e-17,0.0505958752244895,4.350810617450153e-16,1.4098398927385972e-25,1.0638619126719592e-13,2.183214677524908e-124,1.863053320073981e-15,0.938,2.3314314866567786e-68,1.7518014111481937e-12,1.3135117836269502e-37,1.4279722575041593e-15,2.4012341898121056e-13,0.0,0.0,0.03055618455040358,0.0099999999991241,0.0499999999998922,8.386556564977221e-81,7.370071775998634e-90,0.0019999999997594416,1.507306233551764e-129,1.6734889326735118e-91
2.8959208495238345e-17,0.0505958752244895,5.438513276521994e-16,2.1539167892153843e-25,1.32982737984663e-13,1.1132662807007715e-123,2.3288166507245854e-15,0.938,6.091955513597325e-68,2.189751763922362e-12,2.391198007280158e-37,1.784965321812269e-15,3.001542718783794e-13,0.0,0.0,0.03055618454987807,0.009999999998905124,0.04999999999986525,1.4515573930995235e-80,2.170526169173274e-89,0.0019999999996993018,8.131612584722403e-129,3.0713217922407757e-91
4.054289189429263e-17,0.0505958752244895,7.613918600532673e-16,4.141905576206248e-25,1.8617583001296693e-13,3.671321671560528e-122,3.2603433127710643e-15,0.938,3.407847327046463e-67,3.0656524693964166e-12,6.313467923150469e-37,2.4989514502946366e-15,4.202159753059479e-13,0.0,0.0,0.030556184548827053,0.009999999998467174,0.04999999999981134,1.7682689372560335e-80,1.8214528830112242e-88,0.0019999999995790226,4.967154770252353e-127,6.724995098963066e-91
5.212657529334691e-17,0.0505958752244895,9.789323932323444e-16,6.792714475884224e-25,2.393689201759698e-13,2.5633532774521993e-121,4.1918699758058285e-15,0.938,1.1265077810107295e-66,3.941553174771968e-12,1.30893998088764e-36,3.212937578599506e-15,5.402776755949962e-13,0.0,0.0,0.030556184547776036,0.009999999998029224,0.04999999999975743,7.471888425190314e-80,7.442727851236375e-88,0.0019999999994587433,4.0524945476725966e-126,2.0292081850266017e-90
7.529394209145547e-17,0.0505958752244895,1.4140134619241986e-15,1.4082513209579633e-24,3.45755094906859e-13,9.610208092825654e-120,6.05492330483979e-15,0.938,7.543457103127895e-66,5.693354585227602e-12,3.932986171216743e-36,4.640909834676823e-15,7.804010667588558e-13,0.0,0.0,0.030556184545674,0.009999999997153324,0.049999999999649616,1.0231393979877213e-78,7.797261787997672e-87,0.001999999999218185,2.5980679681809986e-124,3.642319409150086e-89
1.2162867568767262e-16,0.0505958752244895,2.284175608642633e-15,3.661477245031391e-24,5.585274219883484e-13,9.577004933375575e-118,9.781029974765357e-15,0.938,9.386633213792182e-65,9.196957404957002e-12,1.6909174494677938e-35,7.496854344701789e-15,1.260647811429924e-12,0.0,0.0,0.030556184541469925,0.009999999995401522,0.04999999999943399,1.3217471289246285e-77,1.7939659804670078e-85,0.001999999998737068,5.102524394303418e-122,9.19081558965955e-88
2.142981428801069e-16,0.0505958752244895,4.024499939418089e-15,1.134896769021168e-23,9.84071986630925e-13,1.8989716475747502e-115,1.7233243362046623e-14,0.938,1.7895029990523153e-63,1.620416303968837e-11,9.521760069159473e-35,1.3208743356233063e-14,2.221141150146719e-12,0.0,0.0,0.030556184533061775,0.009999999991897919,0.04999999999900273,2.0973570567083213e-76,6.687855338530409e-84,0.0019999999977748342,2.0170740417117526e-119,2.8877127167720585e-86
3.996370772649754e-16,0.0505958752244895,7.505148750323162e-15,3.9448092462543094e-23,1.835160757834931e-12,5.800462290084638e-113,3.213767032632916e-14,0.938,4.362213868515669e-62,3.0218574290241415e-11,6.322799938009053e-34,2.4632521345220677e-14,4.142127225079657e-12,0.0,0.0,0.03055618451624548,0.009999999984890713,0.04999999999814022,3.345834157242868e-75,3.234311490320388e-82,0.001999999995850367,1.230890341415081e-116,9.206492846997104e-85
7.703149460347125e-16,0.0505958752244895,1.4466446969549167e-14,1.4654289842531411e-22,3.5373368679201956e-12,2.2619557153467966e-110,6.194652501377098e-14,0.938,1.2140716077004446e-60,5.824739671570877e-11,4.596437569148484e-33,4.748007718689352e-14,7.98409696494555e-12,0.0,0.0,0.030556184482612894,0.009999999970876302,0.0499999999964152,5.391912812485328e-74,1.794151831976156e-80,0.001999999992001437,9.595795262446999e-114,2.966049444683892e-83
1.5116706835741866e-15,0.0505958752244895,2.838904579766064e-14,5.643187739247301e-22,6.94168335880912e-12,1.330922172733595e-107,1.2156423742413767e-13,0.938,3.619850056650339e-59,1.1430504126408861e-10,3.503043940691036e-32,9.317518832500785e-14,1.5668026804689356e-11,0.0,0.0,0.03055618441534774,0.00999999994284748,0.04999999999296516,1.2721383994986254e-73,1.0681901726792127e-78,0.001999999984303584,1.1286241949379073e-110,1.7140186770480856e-82
2.994382158653135e-15,0.0505958752244895,5.623425301249076e-14,2.2142159825493536e-21,1.375035342353278e-11,6.415036079353607e-105,2.4079967438661554e-13,0.938,1.1178595843551346e-57,2.2642032915062916e-10,2.734856489063375e-31,1.84565408420137e-13,3.103584792431593e-11,0.0,0.0,0.030556184280817487,0.009999999886789835,0.049999999986065094,7.413362865686247e-72,6.592429244329058e-77,0.001999999968907918,1.08824091326771e-107,1.5911603422427007e-80
