Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18)
2.831639304926495e-23,0.05040494462592178,7.303456322663452e-21,0.938,0.0,0.0,0.03044087652431814,0.01,0.05,5.054973833313399e-114,2.2998613041195265e-114,0.002,1.2155327802363685e-179,2.551516915015191e-151,4.605829425242452e-23,8.128166762343379e-90,2.137101473556263e-19,1.0257929890670604e-57,2.7295905081877544e-22,2.9293738632686026e-20,7.030497271844675e-21,4.5359324103392626e-38,6.087983568864111e-172,8.817604732472899e-126
5.665738765634855e-23,0.05040494462592178,1.461325795924755e-20,0.938,0.0,0.0,0.03044087652431814,0.01,0.05,8.091722775946742e-113,1.4737577372234194e-112,0.002,1.2480190722755671e-176,6.542918212481005e-149,9.215660439907356e-23,2.604224554232331e-88,4.276059681668179e-19,8.212581173060766e-57,5.461552511169763e-22,5.861292795054357e-20,1.406710270813057e-20,1.8155550622374848e-37,3.1253373170021096e-169,1.130552672440863e-123
1.1333937687051575e-22,0.05040494462592178,2.9232861232415743e-20,0.938,0.0,0.0,0.03044087652431814,0.01,0.05,1.2949768155592248e-111,9.437962818926293e-111,0.002,1.279670902233335e-173,1.6764010155468365e-146,1.8435322469237163e-22,8.338660258294512e-87,8.553976097892011e-19,6.572560909525281e-56,1.0925476517133778e-21,1.1725130658625793e-19,2.814031358070236e-20,7.264585118933851e-37,1.6022984444166204e-166,1.448324219007897e-121
2.2670335529885013e-22,0.05040494462592178,5.847206777875215e-20,0.938,0.0,0.0,0.03044087652431814,0.01,0.05,2.0722038420210975e-110,6.042189179391572e-109,0.002,1.311253746013027e-170,4.293397410607496e-144,3.6874646527896775e-22,2.6691942547440204e-85,1.7109808930339672e-18,5.259047329423633e-55,2.1853324529061802e-21,2.3452806385768384e-19,5.628673532584594e-20,2.906307088948916e-36,8.209214065327513e-164,1.854634157112021e-119
4.534313121555189e-22,0.05040494462592178,1.1695048087142493e-19,0.938,0.0,0.0,0.030440876524318136,0.01,0.05,3.315718896936531e-109,3.8676069419716114e-107,0.0019999999999999996,1.3431696850800147e-167,1.0993415817675617e-141,7.375329464521599e-22,8.54273861259346e-84,3.4221474595234996e-18,4.207637346936254e-54,4.3709020552917805e-21,4.690815784005241e-19,1.125795788161331e-19,1.162617450592947e-35,4.2045118745030474e-161,2.374430511365842e-117
9.068872258688565e-22,0.05040494462592178,2.339073070567705e-19,0.938,0.0,0.0,0.030440876524318133,0.009999999999999998,0.05,5.305304434866256e-108,2.4754623387683967e-105,0.001999999999999999,1.3756337514787412e-164,2.8146112494436193e-139,1.475105908798544e-21,2.733887094985171e-82,6.844480592502563e-18,3.366269679445689e-53,8.742041260062967e-21,9.381886074861588e-19,2.2516526579670734e-19,4.6506590391404274e-35,2.1530665736580322e-158,3.0395903218998716e-115
1.8137990532955318e-21,0.05040494462592178,4.678209594274613e-19,0.938,0.0,0.0,0.030440876524318126,0.009999999999999995,0.05,8.48861045561814e-107,1.5843579464507716e-103,0.001999999999999998,1.4087650320940897e-161,7.205784727677164e-137,2.95025183349131e-21,8.748775901790134e-81,1.3689146858460685e-17,2.6930796660268777e-52,1.748431966960527e-20,1.8764026656572454e-18,4.503366397578555e-19,1.8603014636869426e-34,1.1024608295507624e-155,3.890879956450416e-113
3.6276227081488826e-21,0.05040494462592178,9.356482641688428e-19,0.938,0.0,0.0,0.03044087652431811,0.009999999999999988,0.05,1.3581875416911964e-105,1.0140089420878208e-101,0.0019999999999999957,1.4426334422295552e-158,1.8447295228126654e-134,5.900543682876835e-21,2.7996622414760035e-79,2.7378479390376902e-17,2.15448930215853e-51,3.496887648868963e-20,3.752830781998685e-18,9.006793876801504e-19,7.44128155150921e-34,5.644826353912364e-153,4.980457128959765e-111
7.255270017855583e-21,0.05040494462592178,1.8713028736516034e-18,0.938,0.0,0.0,0.030440876524318074,0.009999999999999974,0.05,2.1731079617580637e-104,6.489720770510226e-100,0.001999999999999991,1.4772835366891482e-155,4.722569829088949e-132,1.1801127381647856e-20,8.959005498421257e-78,5.475714445420924e-17,1.723601669541922e-50,6.993799012685731e-20,7.505687014678626e-18,1.801364883524735e-18,2.9765277600442423e-33,2.890203643013139e-150,6.375068828684683e-109
1.4510564637268985e-20,0.05040494462592178,3.742612092617117e-18,0.938,0.0,0.0,0.030440876524318008,0.009999999999999946,0.05,3.4769790549132313e-103,4.1534416264710585e-98,0.001999999999999982,1.5127463141126612e-152,1.208985844416702e-129,2.360229477918978e-20,2.866895571725076e-76,1.0951447458187353e-16,1.3788854267924465e-49,1.3987621740318858e-19,1.5011399480026784e-17,3.602735875213885e-18,1.1906141319292615e-32,1.4797920453956844e-147,8.160141671577952e-107
